#,Assignee,Closed,Faturado,Subject,Project,Due date,Estimated time,Tracker,Status
8302,"","",,DigitalOcean monitoring triggered: Disk Utilization is running high - srv8.controlepostal.com.br,01 Diversos,11/12/2020,"",Correção,Planejado
8301,"","",,AGRUPAR O OS LEILÕES,Quero Leiloar,11/12/2020,0.50,Correção,Planejado
8300,"","","",[vue-production] ChunkLoadError: Loading chunk 14 failed. (error: https://maiarosa.com.br/assets/painel/js/14.264f267f1a7a59acf847.js),Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8299,Cesar Vieira,"",No,Algumas páginas com conteúdo desconfigurado,A Casa do Artista,11/12/2020,0.50,Correção,Planejado
8297,"","","",[vue-production] TypeError: Cannot read property '_avast_submit' of undefined,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8296,"","","",[laravel-production] shutdown: Maximum number of allowable file uploads has been exceeded,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8295,"","","",[laravel-production] Illuminate\Contracts\Filesystem\FileNotFoundException: 1,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8289,"","","",[laravel-staging] Illuminate\Http\Exceptions\HttpResponseException: ,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8287,"","","",[vue-production] TypeError: Cannot read property 'peso_bruto' of undefined,ERP Efiltros,06/11/2020,0.50,Bug,Planejado
8286,"","","",[laravel-production] E_NOTICE: PDO::prepare(): send of 65 bytes failed with errno=32 Broken pipe,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8285,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'unlock_at' in 'where clause' (SQL: update `app__bloqueios` set `deleted_at` = 2020-10-16 12:17:01 where `unlock_at` <= 2020-10-16 12:17:01),Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8283,"","","",[vue-production] TypeError: Cannot read property 'status' of undefined,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8282,"","","",[laravel-staging] Facade\Ignition\Exceptions\ViewException: Undefined variable: tenant (View: /var/www/html/resources/views_tenant/default/cms/plataforma.blade.php),Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8281,"","","",[vue-production] TypeError: Cannot read property 'push' of undefined,ERP Efiltros,06/11/2020,0.50,Bug,Planejado
8277,"","","","[laravel-staging] E_USER_DEPRECATED: Since symfony/http-foundation 5.1: The ""Symfony\Component\HttpFoundation\Response::create()"" method is deprecated, use ""new Symfony\Component\HttpFoundation\Response()"" instead.",Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8276,"","","",[laravel-staging] ErrorException: file_put_contents(/var/www/html/storage/framework/cache/data/be/2f/be2f6bdbbe78ab94f874fb60269cd6219a112a84): failed to open stream: No such file or directory,Quero Leiloar,06/11/2020,0.50,Bug,Planejado
8273,"","",,CONTAR TODOS OS LEILÕES DO SITE.,Quero Leiloar,11/12/2020,0.50,Correção,Planejado
8266,"","","",[laravel-production] E_NOTICE: PDO::prepare(): send of 75 bytes failed with errno=32 Broken pipe,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8264,"","","",[vue-production] TypeError: undefined is not an object (evaluating 'e.response.status'),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8258,"","","",[laravel-production] ErrorException: Undefined index: centro_custo_id,ERP Efiltros,16/10/2020,0.50,Bug,Planejado
8256,Cesar Vieira,"",Yes,Erros durante rastreio,Botnet Java,11/12/2020,1.50,Correção,Planejado
8247,Cesar Vieira,"",Yes,varios cliente reclamando que da tela branco ao ir para Pagseguro ou erro 404,SoftwareShop,11/12/2020,0.50,Correção,Andamento
8245,"","","",[laravel-production] ErrorException: Undefined variable: ficha_id,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8243,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 28: Operation timed out after 10001 milliseconds with 0 bytes received (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8241,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[40001]: Serialization failure: 1213 Deadlock found when trying to get lock; try restarting transaction (SQL: insert into `venda__pedido_itens` (`pedido_id`, `produto_id`, `quantidade`, `val",ERP Efiltros,16/10/2020,0.50,Bug,Planejado
8240,"","",,Recibo Comprador,Quero Leiloar,18/12/2020,0.50,Melhoria,Planejado
8239,"","",,Relatório Posição do Comprador,Quero Leiloar,11/12/2020,0.50,Melhoria,Planejado
8238,"","",No,Filtro Somente Devedores Não está Func.,Quero Leiloar,11/12/2020,0.50,Correção,Planejado
8234,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 7: Failed to connect to projetos.kaisari.com.br port 443: Connection timed out (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8233,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 28: Operation timed out after 10012 milliseconds with 0 bytes received (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8232,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 28: Operation timed out after 10002 milliseconds with 0 bytes received (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8231,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 28: Operation timed out after 10004 milliseconds with 0 bytes received (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8230,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 28: Connection timed out after 10003 milliseconds (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8229,"","","",[laravel-production] Illuminate\Database\QueryException: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo failed: Temporary failure in name resolution (SQL: select * from `app__companies` where `domain` = web or `subdomain` = web order by CASE,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8228,"","","",[laravel-production] GuzzleHttp\Exception\ConnectException: cURL error 28: Resolving timed out after 10004 milliseconds (see https://curl.haxx.se/libcurl/c/libcurl-errors.html),Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8222,Cesar Vieira,19/10/2020 05:16 PM,"",[laravel-production] E_NOTICE: Trying to get property 'script' of non-object,Quero Leiloar,16/10/2020,0.50,Bug,Andamento
8203,"","","",[laravel-production] Swift_TransportException: Expected response code 354 but got an empty response,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8185,"","","",[laravel-production] ErrorException: Undefined property: stdClass::$upload,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8184,"","","",[vue-production] TypeError: this.$moment(...).hour(...).minute(...).format is not a function,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8182,"","","",[laravel-staging] E_NOTICE: Illuminate\Database\Connection::setPdo(): send of 5 bytes failed with errno=104 Connection reset by peer,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8181,"","","",[vue-production] SyntaxError: Unexpected string,Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8179,"","","","[laravel-staging] Swift_TransportException: Expected response code 354 but got code ""550"", with message ""550 5.7.0 Requested action not taken: too many emails per second""",Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8177,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '5.00-228756a0-ff36-11ea-9302-790ee7f5e759' for key 'leilao__lances.valor_peca_id' (SQL: insert into `leilao__lances` (`valor`, ",Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8176,"","","","[laravel-production] Illuminate\Database\QueryException: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'valor' cannot be null (SQL: insert into `leilao__lance_automatico` (`valor`, `user_id`, `peca_id`, `ip`, `id`, `updated_at`, `created_at",Quero Leiloar,16/10/2020,0.50,Bug,Planejado
8175,"","",Yes,Rastreio de objeto entregue,Controle Postal,11/12/2020,0.50,Correção,Planejado
